stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\patry\source\repos\podst_progr\Allegro_Hello\x64\Debug\allegro5.cfg r
dtor     D               dtor.c:196  _al_register_destructor          [   0.00834] added dtor for sub_bitmap 000001E5DA25C3F0, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00837] added dtor for sub_bitmap 000001E5DA25BE20, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00839] added dtor for sub_bitmap 000001E5DA25B280, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00841] added dtor for sub_bitmap 000001E5DA25C010, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00845] added dtor for sub_bitmap 000001E5DA25BA40, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00847] added dtor for sub_bitmap 000001E5DA25B470, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00849] added dtor for sub_bitmap 000001E5DA25B660, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00852] added dtor for sub_bitmap 000001E5DA25B850, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00861] added dtor for sub_bitmap 000001E5DA25BC30, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00864] added dtor for sub_bitmap 000001E5DA25C5E0, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00867] added dtor for sub_bitmap 000001E5DA25E170, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00870] added dtor for sub_bitmap 000001E5DA25DD90, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00872] added dtor for sub_bitmap 000001E5DA25D5D0, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00875] added dtor for sub_bitmap 000001E5DA25DF80, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00878] added dtor for sub_bitmap 000001E5DA25E740, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00881] added dtor for sub_bitmap 000001E5DA25EB20, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00883] added dtor for sub_bitmap 000001E5DA25CE10, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00885] added dtor for sub_bitmap 000001E5DA25E360, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00888] added dtor for sub_bitmap 000001E5DA25E550, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00890] added dtor for sub_bitmap 000001E5DA25E930, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00893] added dtor for sub_bitmap 000001E5DA25D7C0, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00896] added dtor for sub_bitmap 000001E5DA25D9B0, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00898] added dtor for sub_bitmap 000001E5DA25D000, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00901] added dtor for sub_bitmap 000001E5DA25D1F0, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00903] added dtor for sub_bitmap 000001E5DA25D3E0, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00906] added dtor for sub_bitmap 000001E5DA25DBA0, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00909] added dtor for sub_bitmap 000001E5DA261E60, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00911] added dtor for sub_bitmap 000001E5DA261890, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00914] added dtor for sub_bitmap 000001E5DA262620, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00916] added dtor for sub_bitmap 000001E5DA262A00, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00919] added dtor for sub_bitmap 000001E5DA261A80, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00921] added dtor for sub_bitmap 000001E5DA262050, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00924] added dtor for sub_bitmap 000001E5DA262BF0, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00926] added dtor for sub_bitmap 000001E5DA2612C0, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00928] added dtor for sub_bitmap 000001E5DA262810, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00931] added dtor for sub_bitmap 000001E5DA2616A0, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00934] added dtor for sub_bitmap 000001E5DA261C70, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00936] added dtor for sub_bitmap 000001E5DA260EE0, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00939] added dtor for sub_bitmap 000001E5DA2610D0, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00942] added dtor for sub_bitmap 000001E5DA2614B0, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00944] added dtor for sub_bitmap 000001E5DA262240, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00946] added dtor for sub_bitmap 000001E5DA262430, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00950] added dtor for sub_bitmap 000001E5DA264440, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00952] added dtor for sub_bitmap 000001E5DA264630, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00956] added dtor for sub_bitmap 000001E5DA2632D0, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00959] added dtor for sub_bitmap 000001E5DA263C80, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00961] added dtor for sub_bitmap 000001E5DA263E70, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00964] added dtor for sub_bitmap 000001E5DA264820, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00966] added dtor for sub_bitmap 000001E5DA263A90, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00969] added dtor for sub_bitmap 000001E5DA264060, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00972] added dtor for sub_bitmap 000001E5DA264250, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00974] added dtor for sub_bitmap 000001E5DA264A10, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00977] added dtor for sub_bitmap 000001E5DA264C00, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00979] added dtor for sub_bitmap 000001E5DA2638A0, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00981] added dtor for sub_bitmap 000001E5DA262EF0, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00984] added dtor for sub_bitmap 000001E5DA2634C0, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00986] added dtor for sub_bitmap 000001E5DA2630E0, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00989] added dtor for sub_bitmap 000001E5DA2636B0, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00993] added dtor for sub_bitmap 000001E5DA2662F0, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00995] added dtor for sub_bitmap 000001E5DA266CA0, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00997] added dtor for sub_bitmap 000001E5DA267E10, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.01000] added dtor for sub_bitmap 000001E5DA269B20, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.01003] added dtor for sub_bitmap 000001E5DA269360, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.01006] added dtor for sub_bitmap 000001E5DA267080, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.01009] added dtor for sub_bitmap 000001E5DA267C20, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.01011] added dtor for sub_bitmap 000001E5DA269550, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.01014] added dtor for sub_bitmap 000001E5DA268F80, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.01016] added dtor for sub_bitmap 000001E5DA2664E0, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.01019] added dtor for sub_bitmap 000001E5DA268000, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.01022] added dtor for sub_bitmap 000001E5DA2687C0, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.01024] added dtor for sub_bitmap 000001E5DA2681F0, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.01027] added dtor for sub_bitmap 000001E5DA265F10, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.01029] added dtor for sub_bitmap 000001E5DA266E90, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.01032] added dtor for sub_bitmap 000001E5DA266100, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.01034] added dtor for sub_bitmap 000001E5DA269740, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.01037] added dtor for sub_bitmap 000001E5DA2666D0, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.01039] added dtor for sub_bitmap 000001E5DA267650, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.01041] added dtor for sub_bitmap 000001E5DA269930, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.01044] added dtor for sub_bitmap 000001E5DA2689B0, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.01046] added dtor for sub_bitmap 000001E5DA267460, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.01049] added dtor for sub_bitmap 000001E5DA2668C0, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.01052] added dtor for sub_bitmap 000001E5DA269170, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.01054] added dtor for sub_bitmap 000001E5DA266AB0, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.01056] added dtor for sub_bitmap 000001E5DA268D90, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.01059] added dtor for sub_bitmap 000001E5DA268BA0, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.01063] added dtor for sub_bitmap 000001E5DA267270, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.01065] added dtor for sub_bitmap 000001E5DA267840, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.01068] added dtor for sub_bitmap 000001E5DA267A30, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.01070] added dtor for sub_bitmap 000001E5DA2683E0, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.01072] added dtor for sub_bitmap 000001E5DA2685D0, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.01076] added dtor for sub_bitmap 000001E5DA26DC50, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.01079] added dtor for sub_bitmap 000001E5DA26E9E0, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.01082] added dtor for sub_bitmap 000001E5DA26CCD0, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.01084] added dtor for sub_bitmap 000001E5DA26FB50, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.01086] added dtor for sub_bitmap 000001E5DA26C700, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.01089] added dtor for sub_bitmap 000001E5DA26E030, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.01091] added dtor for sub_bitmap 000001E5DA26DE40, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.01094] added dtor for sub_bitmap 000001E5DA26F580, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.01096] added dtor for sub_bitmap 000001E5DA26C320, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.01099] added dtor for sub_bitmap 000001E5DA26EBD0, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.01102] added dtor for sub_bitmap 000001E5DA26F390, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.01105] added dtor for sub_bitmap 000001E5DA26E410, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.01107] added dtor for sub_bitmap 000001E5DA26D2A0, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.01110] added dtor for sub_bitmap 000001E5DA26F960, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.01112] added dtor for sub_bitmap 000001E5DA26D0B0, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.01114] added dtor for sub_bitmap 000001E5DA26D490, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.01117] added dtor for sub_bitmap 000001E5DA26C510, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.01119] added dtor for sub_bitmap 000001E5DA26E220, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.01122] added dtor for sub_bitmap 000001E5DA26F770, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.01124] added dtor for sub_bitmap 000001E5DA26C8F0, func 00007FFCEF371186
